message_shortname,image,direct_to_nurse,english,hindi,hindi_male,hindi_female,Hindi Translations 
1_6_10_pqw_quiz,,,"Poor quality of drinking water can cause which of the following diseases in your kid? Type 1 for Pneumonia, 2 for Cholera and 3 for Malaria.  ","पीने के पानी की खराब गुणवत्ता आपके बच्चे को निम्नलिखित बीमारियों में से कौनसी बीमारी का कारण बन सकती है? निमोनिया के लिए 1, हैजा के लिए 2 और मलेरिया के लिए 3 टाइप करें।
",,,
1_6_10_pqw_pneumonia,,,That is incorrect! The correct answer is Cholera. It leads to severe watery diarrhoea that leads to dehydration and can also cause death if it remains untreated!,यह गलत जवाब है! इसका सही जवाब हैजा होगा। इसमें लम्बे समय तक दस्त होते है  और यह अनुपचारित रहने पर मृत्यु का कारण भी बन सकता है!,,,
1_6_10_pwq_cholera,,,Correct! Cholera is caused by poor quality of drinking water. It leads to severe watery diarrhoea that leads to dehydration and can also cause death if it remains untreated!,सही  जवाब | हैजा पीने के पानी की खराब गुणवत्ता के कारण होता है।इसमें लम्बे समय तक दस्त होते है  और  यह अनुपचारित रहने पर मृत्यु का कारण भी बन सकता है!,,,
1_6_10_pqw_malaria,,,That is incorrect! The correct answer is Cholera. It leads to severe watery diarrhoea that leads to dehydration and can also cause death if it remains untreated!,यह गलत जवाब है! इसका सही जवाब हैजा होगा। इसमें लम्बे समय तक दस्त होते है  और यह अनुपचारित रहने पर मृत्यु का कारण भी बन सकता है!,,,
1_6_10_gs,,,"Which of the following is a medically proven leading cause of growth stunting? Type 1 for Eating unhealthy food and type 2 for defecating in the open.  
",निम्नलिखित में से कौन सा वृद्धि में रुकावट और नाटेपन का एक चिकित्सकीय रूप से सिद्ध प्रमुख कारण है? अस्वास्थ्यकर भोजन खाने के लिए 1 और खुले में शौच करने के लिए  2 टाइप करे ।,,,
1_6_10_gs_unhealthyfood,,,That is incorrect! Defecating in the open is known to be a leading cause of growth stunting. In India almost 38% children below the age of five suffer from stunting.,यह गलत जवाब है! खुले में शौच करने को वृद्धि में रुकावट और नाटेपन का एक प्रमुख कारण माना जाता है। भारत में पाँच वर्ष से कम आयु के लगभग 38% बच्चे स्टंटिंग से पीड़ित हैं।,,,
1_6_10_gs_od,,,Correct! Defecating in the open is known to be a leading cause of growth stunting. In India almost 38% children below the age of five suffer from stunting.,सही जवाब ! खुले में शौच करने को वृद्धि में रुकावट और नाटेपन का एक प्रमुख कारण माना जाता है। भारत में पाँच वर्ष से कम आयु के लगभग 38% बच्चे स्टंटिंग से पीड़ित हैं।,,,
1_6_10_ptd,,,What is the single most effective way to prevent the transmission of disease? Press 1 for Antibiotics and 2 for Washing hands. ,बीमारी के संचरण को रोकने के लिए सबसे प्रभावी तरीका क्या है? एंटीबायोटिक दवाओं के लिए 1 दबाएँ और हाथ धोने के लिए 2 दबाएं।,,,
1_6_10_ptd_antibiotic,,,That is incorrect! Washing hands is the single most effective way to prevent the transmission of disease. You should practice it and encourage others to do so too.,यह गलत जवाब है! बीमारी के संचरण को रोकने के लिए हाथ धोना सबसे प्रभावी तरीका है। आपको इसका अभ्यास करना चाहिए और दूसरों को भी ऐसा करने के लिए प्रोत्साहित करना चाहिए।,,,
1_6_10_ptd_handwashing,,,Correct! Washing hands is the single most effective way to prevent the transmission of disease. You should practice it and encourage others to do so too.,यह सही जवाब है! बीमारी के संचरण को रोकने के लिए हाथ धोना सबसे प्रभावी तरीका है। आपको इसका अभ्यास करना चाहिए और दूसरों को भी ऐसा करने के लिए प्रोत्साहित करना चाहिए।,,,
1_6_10_sf,,,Which major illness is caused due to non-availability of sanitation facilities? Press 1 for Diarrhoea press 2 for Cold and fever  ,कौनसी बड़ी बीमार स्वच्छता सुविधाओं के अभाव से होती है? डायरिया या दस्त के लिए 1 दबाएं सर्दी-बुखार के लिए 2 दबाएं।,,,
1_6_10_sf_diarrhoea,,,That is correct! Diarrhoea is caused due to poor sanitation facilities and is a leading cause of malnutrition since it causes a reduction in food intake and decrease in absorption of nutrient. ,यह सही जवाब हैं! स्वच्छता की खराब सुविधाओं के कारण डायरिया होता है और कुपोषण का एक प्रमुख कारण है क्योंकि यह भोजन के सेवन में कमी और पोषक तत्वों के अवशोषण में कमी का कारण बनता है।,,,
1_6_10_sf_cold,,,That is incorrect! Diarrhoea is caused due to poor sanitation facilities and is a leading cause of malnutrition since it causes a reduction in food intake and decrease in absorption of nutrient. ,यह गलत जवाब हैं! स्वच्छता की खराब सुविधाओं के कारण डायरिया होता है और कुपोषण का एक प्रमुख कारण है क्योंकि यह भोजन के सेवन में कमी और पोषक तत्वों के अवशोषण में कमी का कारण बनता है।,,,
1_7_cod,,,"Infants and young children are susceptible to a lot of diseases because of their weak immune system. Some of the commonly occurring diseases on which I can provide you information on are as follows: 
1) Jaundice 
2) Diarrhea 
3) Typhoid 
4) Pneumonia 
5) Measles 
6) Malaria ","
""कमजोर प्रतिरक्षा प्रणाली के कारण शिशुओं और छोटे बच्चों को बहुत सारी बीमारियों की आशंका होती है। आमतौर पर होने वाली कुछ बीमारियाँ जिनके बारे में मैं आपको जानकारी प्रदान करुँगी | आप जिस विकल्प के बारे में जानना चाहते हैं उसके सामने की  संख्या दबाए |
1) पीलिया 
2) दस्त 
3) टाइफाइड 
4) निमोनिया 
5) खसरा 
6) मलेरिया ",,,
1_7_1_jaundice,,,"Jaundice is a liver related disease causing yellowing of skin and eyes and it’s common in newborns and infants.Press the number in front of the option you want to know more about:
1) Symptoms of jaundice
2) Causes of jaundice 
3) How to prevent jaundice 
","पीलिया एक लिवर संबंधित बीमारी है,जिसमे  त्वचा और आंखों का पीलापन होता है और यह नवजात शिशुओं और छोटे बच्चो  में आम है। आप जिस विकल्प के बारे में अधिक जानना चाहते हैं, उसके सामने संख्या दर्ज करें:
1) पीलिया के लक्षण
2) पीलिया के कारण
३) पीलिया से बचाव कैसे करें।",,,
1_7_1_1_sym,,,"Most apparent signs of jaundice are yellowing of the skin and whites of the eyes. Jaundice can also cause color changes to bodily fluids, such as pale stools and dark urine.","पीलिया के ज्यादातर स्पष्ट लक्षण त्वचा और आंखों के सफेद भाग का पीला होना है। पीलिया से शारीरिक तरल पदार्थ में परिवर्तन हो सकता है, जैसे कि पीला मल और गहरे रंग का पेशाब। ",,,
1_7_1_2_causes,,,"1.Hepatitis: either feco-oral routes or through direct body fluids transmission. 
2.Hemolytic Anemia:due to destruction of RBC rapidly.which is common in newborn.Also called 3rd day jaundice.
3.EB virus :EBV is a very common virus, affecting children and adults. It tends to be transmitted through bodily fluids, such as saliva
"," 1. हेपेटाइटिस: यह फेको-ओरल मार्ग( मुँह और मल के रास्ते ) या सीधे शरीर के तरल पदार्थ संचरण के माध्यम से फैलता है ।
2.हेमोलिटिक एनीमिया: यह तेजी से आरबीसी के विनाश के कारण होता है । जो नवजात शिशु में आम है और इसे  3 दिन का पीलिया भी कहा जाता है।
3. ईबी वायरस: ईबीवी बच्चों और वयस्कों को प्रभावित करने वाला एक बहुत ही सामान्य वायरस है। यह लार के रूप में शारीरिक तरल पदार्थ के माध्यम से फैलता  है | ",,,
1_7_1_3_prev,,,"Mild cases of jaundice in children can sometimes go away without treatment.
- Ensure that your child has regular bowel movements which may also help the body to get rid faster of bilirubin. 
- maintain good hygiene and avoid  sharing of toys and other items from the infected child which can reduce the risk of conditions such as EBV.
- Two of the most common types of hepatitis are preventable by vaccines.so make sure to get your child immunised/vaccinated.
- Tips for avoiding constipation and establishing regular bowel movements include making sure your child:
> Is well-hydrated
> Has regular physical activity
> Gets enough dietary fiber, which can be found in fruits, beans, and bran cereals like apples, bananas, lentils,chickpeas,oats, sweet potato etc.","""“बच्चों में पीलिया के हल्के मामले कभी-कभी इलाज के बिना दूर हो सकते हैं।
- सुनिश्चित करें कि आपके बच्चे में नियमित रूप से मल त्याग हो जो शरीर को बिलीरुबिन से तेजी से छुटकारा पाने में मदद कर सकता है।
- अच्छी स्वच्छता बनाए रखें और संक्रमित बच्चे से खिलौने और अन्य वस्तुओं को साझा करने से बचें, जिससे ईबीवी जैसी स्थितियों का खतरा कम हो सकता है।
- हेपेटाइटिस के दो सबसे सामान्य प्रकार टीके द्वारा रोके जा सकते हैं। अपने बच्चे का टीकाकरण करवाना सुनिश्चित करें।
- कब्ज से बचने और नियमित रूप से मल त्याग स्थापित करने के सुझाव में यह सुनिश्चित करना शामिल है कि आपका बच्चा:
> अच्छी तरह से हाइड्रेटेड है मतलब उसमे पानी की कमी न हो | 
> उसमे नियमित शारीरिक गतिविधि मौजूद हो | 
> उसे पर्याप्त मात्रा में फाइबर प्राप्त होता है, जो की फल, बीन्स, और चोकर अनाज जैसे सेब, केला, दाल, छोले, जई, शकरकंद आदि में पाया जा सकता है।""",,,
1_7_2_diarrhea,,,"Diarrhea is frequent, soft or loose bowel movements (poop). Most kids have diarrhea from time to time. 20% of all childhood deaths are caused due to diarrhea and dehydration.Press the number in front of the option you want to know more about:
1) symptoms of diarrhea
2) causes of diarrhea
3) prevention of diarrhea
4) How to prevent diarrhea at home.","""दस्त अक्सर, नरम या ढीली मल त्याग (शौच) है। अधिकांश बच्चों को समय-समय पर दस्त होते हैं। सभी बचपन में होने वाली मौतों में से 20% दस्त और शरीर में पानी की कमी  के कारण होती हैं।आप जिस विकल्प के बारे में जानना चाहते हैं उसके सामने की संख्या दर्ज करें। 
1) दस्त के लक्षण
2) दस्त के कारण
3) दस्त की रोकथाम
4) घर पर दस्त को कैसे रोकें।""",,,
1_7_2_1_sym,,,"Symptoms :
> Fever
> loss of appetite
> vomiting
> weight loss
> Dehydration : Signs of dehydration include dry mouth, sunken eyes, not peeing often and low energy.
","
""लक्षण:
> बुखार
> भूख कम लगना
> उल्टी होना
> वजन कम होना
> निर्जलीकरण: शरीर में पानी की कमी  के संकेतों में सूखा मुँह, धँसी हुई आँखें, अक्सर पेशाब न करना और कम ऊर्जा शामिल है।",,,
1_7_2_2_causes,,,"Diarrhoea is commonly caused by a viral or bacterial infection which can be transmitted by drinking contaminated water or food, poor sanitation etc.
","
“दस्त आमतौर पर एक वायरल या जीवाणु संक्रमण के कारण होता है जो दूषित पानी पीने से या भोजन, खराब स्वच्छता आदि से फैल सकता है।",,,
1_7_2_3_prev,,,"> Wash fruits and vegetables well before eating.
> Drink clean water: boiled or filtered. Cover water. Use a ladle, do not dip fingers into container
> Wash your hands after going to the bathroom. 
> Wash your hands before preparing or eating a meal.
> Do not eat stale or contaminated food.
> Wash pots and pans and let them dry before reusing them.
","""> खाने से पहले फलों और सब्जियों को अच्छे से धोएं।
> साफ पानी पिएं जैसे की उबला या फ़िल्टर किया हुआ। पानी ढक कर रखें। एक करछुल का उपयोग करें, उंगलियों को बर्तन में न डुबोएं
> बाथरूम जाने के बाद अपने हाथ जरूर धोएं।
> खाना बनाने या खाने से पहले अपने हाथ जरूर धोएं।
> बासी या दूषित भोजन न करें।
> बर्तन और धूपदान धोएं और उन्हें पुन: उपयोग करने से पहले सूखने दें।""",,,
1_7_2_4_homeremedies,,,"> Continue feeding the child, do not starve them. Continue breastfeeding. For older children, give bananas, rice, and lentils.
> Give clean water. Give rice water.
> Use oral rehydration therapy wherein you mix a pinch salt, fist of sugar in a glass of water. Discard every 24 hours.
> Important point: Continue using ORS as long as diarrhoea continues.

","""> स्तनपान जारी रखें बच्चे को दूध पिलाते रहें, उन्हें भूखा न रखें। बड़े बच्चों के लिए, केला, चावल और दाल दें सकते है | 
> स्वच्छ पानी दें साथ ही 6  महीनो से ऊपर के बच्चो को  चावल का पानी भी दे सकते है ।
> ओरल रिहाइड्रेशन थेरेपी (ओ आर एस )का उपयोग करें जिसमें आप एक गिलास पानी में एक चुटकी नमक, चीनी की मुट्ठी मिलाएं। हर 24 घंटे में बच्चे को पिलाये।
> महत्वपूर्ण बात: जब तक दस्त जारी रहे तब तक ओआरएस का उपयोग जारी रखें।",,,
1_7_3_typhoid,,,"Typhoid fever is a bacterial infection. Children can become very sick or even die without treatment. Typhoid fever is common in countries with poor sanitation. The disease is rare in the developed countries..Press the number in front of the option you want to know more about:
1) Symptoms of Typhoid
2) Causes of Typhoid 
3) How to prevent Typhoid ","""टाइफाइड बुखार एक जीवाणु संक्रमण है। इसके कारण बच्चे बहुत बीमार हो सकते हैं या बिना इलाज के भी मर सकते हैं। टाइफाइड बुखार गरीब स्वच्छता वाले देशों में आम है। विकसित देशों में यह बीमारी आसानी से नहीं फैलती  है। आप जिस विकल्प के बारे में अधिक जानना चाहते हैं उसके सामने की संख्या दर्ज करे। 
1) टाइफाइड के लक्षण
2) टाइफाइड के कारण
3) टाइफाइड से बचाव""",,,
1_7_3_1_sym,,,"> A persistent fever that rises gradually to (102°F to 104°F)
> Headache
> Sore throat
> Tiredness
> Low energy
> Stomach pain
> Constipation
> Diarrhea
","> एक लगातार बुखार जो धीरे-धीरे बढ़ता है (102 ° F से 104 ° F)
> सिरदर्द
> गले में खराश
> थकान
> कम ऊर्जा
> पेट दर्द
> कब्ज
> दस्त ",,,
1_7_3_2_causes,,,"> Typhoid fever is caused by bacteria. The bacteria is most often found in food or water contaminated by an infected person. Infection can also occur when food or drink is served by an infected person who has not washed after using the bathroom.
> Poor sanitation
> Children with weak immune systems are also at a greater risk of getting sick.

",""""" टाइफाइड बुखार बैक्टीरिया के कारण होता है। बैक्टीरिया अधिक बार किसी संक्रमित व्यक्ति द्वारा दूषित भोजन या पानी में पाया जाता है। संक्रमण  किसी संक्रमित व्यक्ति द्वारा भोजन या पेय परोसा जाने पर,  जिसने बाथरूम के उपयोग करने के बाद हाथ नहीं धोया हो के कारन भी हो सकता है। 
> ख़राब  स्वच्छता
> कमजोर प्रतिरक्षा प्रणाली वाले बच्चे भी बीमार होने के अधिक जोखिम में हैं।
",,,
1_7_3_3_prev,,,"> Wash your hands. Frequent hand-washing with soap and  water is the best way to control infection
> Avoid drinking untreated water. Contaminated drinking water is a particular problem in areas where typhoid fever is endemic.
> Avoid eating raw fruits and vegetables without washing.
> Choose fresh foods.
> Vaccinations :There is a typhoid vaccine that can be used in children older than two years. 
> If your child is showing symptoms of typhoid fever, seek medical help right away.

","""नियमित रूप से अपने हाथ धोएं। संक्रमण को नियंत्रित करने के लिए साबुन और पानी से बार-बार हाथ धोना सबसे अच्छा तरीका है
> अनुपचारित पानी पीने से बचें। दूषित पेयजल उन क्षेत्रों में एक विशेष समस्या है जहां टाइफाइड बुखार सामान्य है।
> बिना धोए कच्चे फल और सब्जियां खाने से बचें।
> ताजा खाद्य पदार्थ चुनें।
> टीकाकरण: एक टाइफाइड वैक्सीन है जिसका उपयोग दो साल से अधिक उम्र के बच्चों में किया जा सकता है।
> यदि आपका बच्चा टाइफाइड बुखार के लक्षण दिखा रहा है, तो तुरंत चिकित्सा सहायता लें।
",,,
1_7_4_pneumonia,,,"Pneumonia is an infection in the lungs. It may also be called a lower respiratory tract infection. Most cases of pneumonia are caused by viruses in children age three and younger. In older children and teenagers, most cases of pneumonia are caused by bacterial infections..Press the number in front of the option you want to know more about:
1) Symptoms of pneumonia
2) Causes of pneumonia 
3) How to prevent pneumonia
","""निमोनिया फेफड़ों में एक संक्रमण है। इसे निचले साँस पथ का संक्रमण भी कहा जा सकता है। निमोनिया के अधिकांश मामले तीन साल और उससे कम उम्र के बच्चों में वायरस के कारण होते हैं। बड़े बच्चों और किशोरों में, निमोनिया के अधिकांश मामले जीवाणु संक्रमण के कारण होते हैं। आप जिस विकल्प के बारे में अधिक जानना चाहते हैं उसके सामने की संख्या दर्ज करे।
1) निमोनिया  के लक्षण
2) निमोनिया के कारण
3) निमोनिया से बचाव ",,,
1_7_4_1_sym,,,"Symptoms :
> High fever
> Cough
> Fast breathing
> Trouble breathing
> Crackly noises in the lung
> Loss of appetite
> Vomiting due to the cough or from swallowing mucus
> Feeling unwell
> Abdominal (belly) pain or chest pain","""लक्षण:
> तेज बुखार
> खांसी
> तेज सांस लेना
> सांस लेने में परेशानी
> फेफड़ों में क्रैकली शोर
> भूख कम लगना
> खांसी के कारण या बलगम निगलने से उल्टी होना
> अस्वस्थ महसूस करना
> पेट (पेट) दर्द या सीने में दर्द """,,,
1_7_4_2_causes,,,Mainly caused due to bacterial infection.,यह मुख्य रूप से जीवाणु संक्रमण के कारण होता है।,,,
1_7_4_3_prev,,,"Keep your child fed and hydrated: Make sure your child drinks plenty of fluids to stay hydrated. Your child may not want to eat much at first. Once the infection begins to clear and your child starts to feel better,then they will want to eat more.","अपने बच्चे को खिलाये  और साथ ही जलयोजित रखें: सुनिश्चित करें कि आपका बच्चा जलयोजित रहने के लिए बहुत सारे तरल पदार्थ पीता हो। यह भी हो सकता है कि आपका बच्चा पहली बार में ज्यादा खाना न खाए। एक बार जब संक्रमण साफ होने लगता है और आपका बच्चा बेहतर महसूस करना शुरू कर देता है, तो वह अधिक खाना चाहेंगे।",,,
1_7_5_measles,,,"Measles is a very contagious respiratory infection. It causes a total-body skin rash and flu-like symptoms.
Press the number in front of the option you want to know more about:
1) Symptoms of Measles
2) Causes of Measles 
3) How to prevent Measles
","खसरा एक बहुत ही संक्रामक साँस की नली का रोग है । इसके कारण पुरे शरीर की त्वचा पर चकत्ते और फ्लू जैसे लक्षण दिखायी पड़ते है।  आप जिस विकल्प के बारे में अधिक जानना चाहते हैं उसके सामने की संख्या दर्ज करे। 
1)  खसरा  के लक्षण
2)  खसरा  के कारण
3)  खसरा  से बचाव के कुछ तरीके ",,,
1_7_5_1_sym,,,"The first symptoms of a measles infection are usually a hacking cough, runny nose, high fever, and red eyes. Kids also may have Koplik's spots (small red spots with blue-white centers) inside the mouth before the rash starts.","खसरे के संक्रमण के पहले लक्षण आमतौर पर एक सुखी खांसी, नाक बहना, तेज बुखार और लाल आँखें हैं। बच्चों को दाने निकलने से पहले मुंह के अंदर कोप्लिक के धब्बे (नीले-सफेद केंद्र वाले छोटे लाल धब्बे) हो सकते हैं।",,,
1_7_5_2_causes,,,Measles spreads when people breathe in or have direct contact with virus-infected fluid. It can pass through droplets sprayed into the air when someone with measles sneezes or coughs.,"खसरा, वायरस से संक्रमित तरल पदार्थ के साथ सीधे संपर्क में आने या संक्रमित वायु में साँस लेने से छींटे के माध्यम से फेल सकता है, जब कोई खसरे से संक्रमित व्यक्ति छींकता है या खांसी करता है।",,,
1_7_5_3_prev,,,"The best way to protect your kids is to make sure they're immunized against measles. For most kids, measles protection is part of the measles-mumps-rubella vaccine (MMR)or measles-mumps-rubella-varicella vaccine (MMRV) given when they're 12 to 15 months old and again when they're 4 to 6 years old. Check with your Aanganwadi worker if your child has got this vaccination! ","खसरे से अपने बच्चों की सुरक्षा करने सबसे अच्छा तरीका यह सुनिश्चित करना है कि वह खसरे के खिलाफ प्रतिरक्षित हो । ज्यादातर बच्चों के लिए, खसरा-रूबेला वैक्सीन (MMR) या खसरा--रूबेला-वैरसेला वैक्सीन (MMRV) , 12 से 15 महीने पुरे होने पर दिया जाता है और दोबारा जब वह 4 से 6 के हो जाते  है। यदि आपके बच्चे को यह टीकाकरण मिला है, तो अपने आंगनवाड़ी कार्यकर्ता से इस बारे में बात  करें!",,,
1_7_6_malaria,,,"Malaria is a severe infection which caused due to mosquito bite and it can be fatal if left untreated.
Press the number in front of the option you want to know more about:
1) Symptoms of Malaria
2) Causes of Malaria 
3) How to prevent Malaria","मलेरिया एक गंभीर संक्रमण है ,जो की मच्छर के काटने के कारण होता है। और यह अनुपचारित होने पर घातक हो सकता है। आप जिस विकल्प के बारे में अधिक जानना चाहते हैं उसके सामने की संख्या दर्ज करे। 
1) मलेरिया के लक्षण
2) मलेरिया के कारण
3) मलेरिया से बचाव के कुछ तरीके ",,,
1_7_6_1_sym,,,"The initial symptoms are not feeling well , low grade fever, body pain or cold like symptoms. And at later stage,
- High fever 
- Headache
 -Nausea & Vomiting 
- Pale and yellowish skin.
","""शुरुआती लक्षण कुछ इस प्रकार दिखाई पड़ते है  जैसे की ठीक महसूस न करना , कम बुखार, शरीर में दर्द या ठंड लगना। और बाद के चरण में आप यह भी देख सकते है। 
- उच्च बुखार
- सरदर्द
 -मतली उल्टी
- पीली और फीकी  त्वचा।",,,
1_7_6_2_causes,,,"Mainly caused due to mosquito bite and rarely due to blood transfusion,sharing needles and from mother to the baby during pregnancy.","यह मुख्य रूप से मच्छर के काटने के कारण और शायद ही कभी रक्त आधान, गर्भावस्था के दौरान सुइयों और माँ से बच्चे को साझा करने के कारण होता है।",,,
1_7_6_3_prev,,,"Apply mosquito repellent, use net while sleeping, avoid stagnation of water in your surroundings, clean coolers at your home, maintain hygiene and sanitation.","मच्छर से बचाने वाली क्रीम लगायें, सोते समय नेट का उपयोग करें, अपने आस-पास पानी के ठहराव से बचें, अपने घर पर कूलर की सफाई  करें, साथ ही स्वच्छता और साफ सफाई  बनाए रखें।",,,
1_8_ft,,,"One of the different ways the nutrition of a child can be improved is through increased understanding of feeding techniques. While the scope of feeding techniques is vast, some of the things I can tell you about are: 
1) Recognizing signs of hunger in your child 
2) Importance of breastfeeding after the initiation of complementary feeding 
3) Kinds of nutrient rich food that can be given to [child name]
4) Consistency of food when you begin complementary feeding 
5) Number of times a child should be fed 
6) Responsive feeding - meaning 
7) Responsive feeding - few pointers 
","विभिन्न तरीकों में से एक बच्चे के पोषण में सुधार किया जा सकता है, खिलाने के तरीके की माध्यम से है। हालांकि फीडिंग तकनीकों का दायरा बहुत बड़ा है, जिनमें से कुछ चीजें मैं आपको बता सकती हूं:
1) अपने बच्चे में भूख के संकेतों को पहचानना
2) उपरी आहार की दीक्षा के बाद स्तनपान का महत्व
3) पोषक तत्वों से भरपूर भोजन [child name] को दिया जा सकता है
4) भोजन की संगति जब आप ऊपरी भोजन शुरू करते हैं 
5) एक बच्चे को कितनी बार खिलाना चाहिए
6) उत्तरदायी भोजन- अर्थ
7) उत्तरदायी भोजन - कुछ संकेत",,,
1_8_1_hunger,,,"With time you will learn how to recognize the [child name]’s way of communicating hunger. She/he might rub the mouth with a fist, start to fuss, or open the mouth wide towards the breast. These are indications that the she/he is ready for breastfeeding. The mother should not wait for the baby to cry before feeding it. Crying is a late sign of hunger. ","समय के साथ आप जानेंगे कि [child name] को भूख लगने पर किस तरह से पहचाना जाए। / वह मुंह को मुट्ठी से रगड़ सकता है, उपद्रव करना शुरू कर सकता है, या मुंह को स्तन की तरफ खोल सकता है। ये संकेत हैं कि वह स्तनपान के लिए तैयार है। दूध पिलाने से पहले मां को बच्चे के रोने का इंतजार नहीं करना चाहिए। रोना भूख का देर से संकेत है।",,,
1_8_2_bfimp,,,"Children older than 6 months still benefit a lot from breastfeeding. From age 6 upto 12 months, breast-milk provides half of the child’s nutritional needs. From 12 months upto 2 years, it continues to provide one-third of a child’s needs. Breast-milk also continues to protect the child from many illnesses, and helps the child grow. Therefore [mother name], you should breastfeed [child name] as often that she/he wants!","6 महीने से बड़े बच्चे अभी भी स्तनपान से बहुत लाभान्वित होते हैं। 6 से 12 महीने तक की उम्र में बच्चे के पोषण की जरूरतों का आधा हिस्सा स्तन-दूध प्रदान करता है। 
12 महीने से लेकर 2 साल तक यह बच्चे की जरूरतों का एक तिहाई प्रदान करता है। 
स्तन-दूध बच्चे को कई बीमारियों से भी बचाता है, और बच्चे को बढ़ने में मदद करता है। इसलिए [मां का नाम], आपको [बच्चे का नाम] को जितनी बार वह चाहता/चाहती है, स्तनपान कराना चाहिए!
",,,
1_8_3_nutrientrichfood,,,"A nutrition-rich diet requires a variety of foods. Iron, vitamin A and iodine are very important for development of the brain as well as for child’s growth. Zinc helps to prevent illness.
Sources of important micronutrients-
Best sources for iron: animal meat and organ foods (for example, liver), egg and fish. Among vegetarian foods, soya beans and other pulses, drumstick, coriander, fenugreek curry leaves, mint, beet root and turnip leaves, dry dates, raisins, dry mango powder, water melon and whole wheat flour. 
Best sources for zinc: same as iron. 
Best sources for Vitamin A: Vitamin A contributes to healthy eyes and brain development, and prevents illness. Best sources are animal foods, fish, liver, egg, milk and milk products. In a vegetarian diet the foods rich in vitamin A are sweet potatoes, carrot, yellow pumpkin, spinach, fenugreek, sarson (mustard), parwal, papaya, musk melon, orange, sweet lime and mango 
Iodine is available in iodized salt. It is very important for brain development.","पोषण से भरपूर आहार के लिए कई तरह के खाद्य पदार्थों की आवश्यकता होती है। आयरन, विटामिन ए और आयोडीन मस्तिष्क के विकास के साथ-साथ बच्चे के विकास के लिए बहुत महत्वपूर्ण हैं। जिंक या जस्ता तत्व बीमारी को रोकने में मदद करता है।
महत्वपूर्ण सूक्ष्म पोषक तत्वों के स्रोत:
लोहे या आयरन के लिए सबसे अच्छा स्रोत: पशु मांस पदार्थ (उदाहरण के लिए कलेजी), अंडा और मछली। शाकाहारी खाद्य पदार्थों में, सोयाबीन और अन्य दालें, सेंजन, धनिया, मेथी करी पत्ते, पुदीना, चुकंदर और शलजम की पत्तियां, सूखी खजूर, किशमिश, आम का पाउडर, तरबूज और साबुत चावल का आटा। 
जिंक बीमारी को रोकने में मदद करता है।
जस्ता या जिंक के लिए सबसे अच्छा स्रोत: लोहे के समान जो ऊपर बताये गए हैं।
विटामिन ए स्वस्थ आंखों और मस्तिष्क के विकास में योगदान देता है, और बीमारी को रोकता है। सबसे अच्छा स्रोत पशु खाद्य पदार्थ, मछली, कलेजी/जिगर, अंडा, दूध और दूध उत्पाद हैं। शाकाहारी भोजन में विटामिन ए से भरपूर खाद्य पदार्थ हैं शकरकंद, गाजर, पीले कद्दू, पालक, मेथी, सरसो (सरसों), परवल, पपीता, खरबूज, संतरा, मोसम्बी और आम।
आयोडीन नमक में आयोडीन उपलब्ध है। यह मस्तिष्क के विकास के लिए बहुत महत्वपूर्ण है।
",,,
1_8_4_consistency,foodconsistency.jpg,,"To be an energy-rich food, the food should also be prepared thick—so it stays on a spoon. Thin soups and cereals fill the stomach but do not provide enough energy for a growing child. Which is why dal water is also not very useful! Here’s a picture to give you an idea about this!","ऊर्जा से भरपूर भोजन होने के लिए, भोजन को गाढ़ा बनाया जाना चाहिए - जिससे की वो एक चम्मच पर स्तिर रहे। पतले सूप और अनाज पेट भरते हैं लेकिन बढ़ते बच्चे के लिए पर्याप्त ऊर्जा प्रदान नहीं करते हैं। यही कारण है कि दाल का पानी भी बहुत उपयोगी नहीं है! इस बारे में एक विचार देने के लिए यहां एक तस्वीर दी गई है!",,,
1_8_5_frequency,,,"I am sure you care the most of [child name]’s health, [mother name]! A common feeding problem is that the family thinks that they are giving the child enough food. The quantity may be difficult for a family to imagine correctly. With the child’s cup or bowl, it is helpful to demonstrate how much is 1/2, 3/4, and a full katori. The size of karchi and katoris can vary in size and shape. One katori equals about 250 ml (the volume can vary). You need to feed this quantity to a child at least 2-3 times a day till she/he 9 months old and along with that 1-2 snacks. This should increase as [child name] grows older. ","मुझे यकीन है कि आप [mother name] [child name] के स्वास्थ्य, का सबसे अधिक ध्यान रखते हैं! बच्चे जब ऊपरी आहार लेना शुरू करते हैं एक आम समस्या यह होती है कि परिवार को लगता है कि वे बच्चे को पर्याप्त भोजन दे रहे हैं। एक परिवार के लिए सही मात्रा में कल्पना करना मुश्किल हो सकता है। ये जानना ज़रूरी है की 1/2 ,3/4 , और पूरी कटोरी भर कितना होता है। करछी और कटोरियों का आकार और आकृति अलग-अलग हो सकती है। एक कटोरी लगभग 250 मिलीलीटर (मात्रा भिन्न हो सकती है) के बराबर होती है। आपको यह मात्रा एक बच्चे को दिन में कम से कम 2-3 बार खिलानी चाहिए जब तक वह 9 महीने की उम्र के हैं और साथ ही में उसे 1-2 बार नाश्ता देने की आवश्यकता होती है। जैसे जैसे [बच्चे का नाम] बड़ा होता/होती जाता/जाती है ये मात्रा बढ़नी चाहिए।",,,
